block,amount
6124613,20500.0000
6124614,13940.0000
6124615,982.8976
6124616,34440.0000
6124616,163816.2647
6124616,11587.6752
6124617,1805.5829
6124618,13940.0000
6124618,12015.5969
6124620,13940.0000
6124621,19657.9518
6124623,11597.0425
6124624,34440.0000
6124624,163.8163
6124624,13940.0000
6124628,20500.0000
6124628,196579.5177
6124629,34440.0000
6124632,20500.0000
6124632,1852.4343
6124636,15922.4950
6124637,20500.0000
6124641,20500.0000
6124642,20500.0000
6124642,22765.4921
6124644,10847.7841
6124644,43376.3103
6124645,20500.0000
6124649,3542.5684
6124649,10397.4316
6124652,34440.0000
6124654,5227.4091
6124655,14965.9722
6124657,13940.0000
6124658,1862.4800
6124658,8014.8719
6124659,18249.8326
6124706,17192.3066
6124708,4406.3220
6124745,328.8298
6124746,328.8300
6125608,120.5710
6125721,6130.9593
6125721,37713.0407
6125723,9948.7317
6125724,6576.6000
6125724,12480.0486
6125724,9454.0085
6125726,10.9610
6125765,1713.5885
6125769,241.1904
6125769,190.2610
6126043,2.3780
6126142,6218.1980
6126142,16082.5762
6126144,11821.4266
6126145,31738.5264
6126147,12211.7963
6126148,7571.3675
6126162,767.2700
6126244,295.9470
6126282,3123.8850
6126282,1753.7600
6126288,978.8173
6126450,1424.9300
6126452,6305.0931
6126452,1253.6125
6126454,6503.9374
6126468,522.3793
6126532,1972.9800
6126572,6370.4856
6126572,17721.3970
6126877,32.9440
6128230,16715.5250
6128231,3562.3250
6128232,1496.7268
6128245,123398.1526
6128245,128010.3162
6128248,65420.6699
6128249,45556.5721
6128250,13940.0000
6128252,10992.5966
6128252,15661.9579
6128252,2766.2140
6128253,12148.4192
6128255,12016.7512
6128255,11176.6196
6128258,11602.2986
6128259,11173.7860
6128260,15748.0377
6128260,16521.6706
6128260,20500.0000
6128264,11602.6740
6128266,15835.5837
6128268,11602.2986
6128268,48380.0000
6128271,15763.3266
6128273,21259.7337
6128273,4859.3677
6128274,11622.2312
6128276,20109.2605
6128276,13940.0000
6128277,303710.4810
6128278,15185.5240
6128278,12032.9109
6128278,13940.0000
6128280,38224.2237
6128280,16897.2024
6128340,8.7688
6140675,1150.9050
6140781,116178.6978
6140782,129520.6996
6140783,104919.3004
6140783,1162.3122
6140784,591650.2030
6140784,1783.5124
6140785,13940.0000
6140786,68367.9741
6140787,13940.0000
6140789,13840.0000
6140789,148626.0307
6140791,297.2521
6140791,2972.5206
6140791,23674.4473
6140792,34440.0000
6140793,24324.2669
6140795,20500.0000
6140796,1774.9506
6140797,11833.0041
6140799,34440.0000
6140799,88747.5304
6140801,2958.2510
6140801,13940.0000
6140801,2958.2510
6140803,8874.7530
6140803,887.4753
6140805,12720.4794
6140805,42366.8000
6140807,15990.5258
6140808,13940.0000
6140810,11632.9058
6140811,8877.5618
6140811,34440.0000
6140811,8877.5618
6140815,26238.1218
6140815,3256.4665
6140817,2140.4185
6140820,602.9120
6140842,117.7792
6140866,118.6287
6140896,23.7257
6140945,133.5229
6141021,3436.2735
6141040,48392.8150
6141040,5751.5216
6141043,6706.4604
6141044,11668.3908
6141044,21511.9000
6141045,16399.9260
6141045,2194.3922
6141045,1666.0514
6141046,988.6822
6141073,328.8300
6141092,306.1378
6141094,33506.3359
6141097,66546.7224
6141097,15858.6462
6141102,11805.5051
6141102,1157.3343
6141103,14466.6788
6141106,11822.0869
6141109,11764.5674
6141110,37612.7222
6141111,4339.9295
6141112,1735.9718
6141114,11777.5723
6141114,13940.0000
6141116,99818.3782
6141117,578.0344
6141118,11815.5077
6141120,7505.8365
6141120,6724.8485
6141122,4415.5500
6141152,8860.1490
6141154,1197.4086
6141156,24197.3843
6141159,11819.0612
6141159,8310.1879
6141159,13940.0000
6141162,10932.9045
6141163,13940.0000
6141165,11787.2851
6141165,13940.0000
6141167,13940.0000
6141168,8045.0175
6141171,15320.6798
6141174,1951.3459
6141176,2191.4816
6141176,2795.0553
6141177,9888.0017
6141183,47123.0570
6141186,15742.5189
6141186,13940.0000
6141188,13851.8655
6141189,15760.5722
6141190,5679.5742
6141190,13940.0000
6141190,567.9574
6141192,10323.0810
6141195,624.7773
6141218,482.2182
6141226,393.5218
6141233,339.7910
6141256,329.9261
6141260,28.3867
6141265,113.5468
6141274,11.5206
6141280,85.1601
6141293,31.2254
6141309,28.4005
6141324,42.6008
6141331,9.9293
6141383,71.2465
6141456,10.9610
6141501,2.1922
6141633,12.0291
6141652,4.3823
6142375,1762.5288
6142391,21977.8972
6142393,22230.7195
6142393,90063.6333
6142399,10188.2495
6142399,9632.9104
6142401,8940.8877
6142401,4384.4000
6142401,876.8800
6142897,1096.1000
6142911,26234.5298
6142918,137.2305
6142919,6206.9957
6142919,5809.3300
6142921,31326.2659
6142921,3824.0189
6142921,20590.2385
6142921,2226.9464
6142921,1972.9800
6142921,826.9746
6142941,16.4685
6142944,19.2132
6142961,66652.9851
6142965,1132.0395
6142968,1096.1000
6142971,986.4900
6142973,2027.7850
6142987,81221.0100
6142989,37815.4500
6142991,2685.4450
6143027,16.1803
6143113,20508.3016
6143113,95929.4731
6143123,438.4400
6143126,22613.1154
6143126,112362.3986
6143129,26386.0728
6143130,23228.8413
6143131,8107.3162
6143131,132034.2291
6143132,52813.6916
6143133,31620.0000
6143133,26603.5853
6143135,10735.6081
6143136,769.3087
6143149,36.9567
6143157,199.8338
6143174,4870.4669
6143193,52.5035
6143204,6.9051
6143308,72540.5022
6143308,31419.4793
6143309,32489.0882
6143309,77313.6851
6143311,7731.3685
6143313,180.3986
6143316,513.5935
6143316,4879.1381
6143317,29666.1421
6143318,77039.0229
6143330,891.3925
6143333,5085.8523
6143334,20.3434
6143344,26667.0792
6143346,38130.5305
6143346,32377.5031
6143346,13012.6838
6143346,18470.8461
6143346,1779.4248
6143348,1526.7451
6143350,13149.1539
6143350,48412.5939
6143354,13300.6610
6143355,380.0656
6143356,8334.0883
6143356,63240.0000
